,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
-9.12874E+18,Confirmed: Walmart buys Jet.com for $3B in cash,Automation and anxiety,How enterprise architects can help ensure success with digital transformations,Blaise Agüera y Arcas: How computers are learning to be creative,Now we know how profitable Microsoft's cloud business is -and investors should be happy,Piloto de caça criado por inteligência artificial vence humano em combate simulado
-9.12865E+18,Clarifying the uses of artificial intelligence in the enterprise,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,Finding The Meaning Of Artificial Intelligence At Google I/O,Artificial Intelligence Can Now Design Realistic Video and Game Imagery,The return of the machinery question,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters"
-9.10243E+18,"contentId
-9102431381393428051    How Leaders Can Let Go Without Losing Control
-9102431381393428051    How Leaders Can Let Go Without Losing Control
Name: title, dtype: object",Changing change management,4 Reasons Managers Should Spend More Time on Coaching,[Webinar] PMI | Project Management Institute,[Books] Biblioteca FIXE: Sugestões de Leitura,Former Google career coach shares a visual trick for figuring out what to do with your life
-9.09051E+18,OpenBazaar is Open for Business,Shopping app Spring's redesign could be a game-changer,The Rise And Growth of Ethereum Gets Mainstream Coverage,From fine wine to lotteries: Blockchain tech takes off - BBC News,Operator fuses bots with humans to build cyborg shopping experts,Amazon founder: A.I.'s impact is
-9.08696E+18,We are on the verge of a consumer M&A avalanche,Why Steve Jobs Was Proud to Steal Ideas,Understanding the Twitter topic Tracker,2016 will be the year of conversational commerce - Chris Messina,The Competitive Landscape for Machine Intelligence,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up"
-9.08329E+18,Drupal How-To: Responsive or Adaptive Images? | Acquia,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Introducing Style Detection for Google Cloud Vision API,Create a Slack Bot to Interact with Your Wiki
-9.08175E+18,Uso de API's no mercado de serviços financeiros,LOGOBR School | Behance Reviews Campinas 2016,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,Google made a huge change to the way Google Maps look,Motion with Meaning: Semantic Animation in Interface Design,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business
-9.0765E+18,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,NoSQL Performance Benchmarks,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL
-9.07321E+18,Number plate recognition with Tensorflow,Conversational Banking; from branches to bots. - Chatbots Magazine,3Dprintler lets you order a 3D print via chatbot,"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",Google lags behind Amazon and Microsoft's cloud in one important area,"Chatbots Are Your Newest, Dumbest Co-Workers"
-9.07188E+18,Singapore bank wants you to talk to its chatbot to get your banking done,Accenture and Adboe team on customer enegagement,Liberty vai adotar telemetria e baratear seguro para bons motoristas,"The new, scary face of auto insurance",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Digital Leadership Is Not an Optional Part of Being a CEO
-9.0641E+18,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Announcing .NET Core 1.0,"Microservices Reference Architecture, Part 4 -12‑Factor App",Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Beyond Progressive Web Apps Part 1,"What do you mean by ""Event-Driven""?"
-9.05611E+18,Acquia Engage 2016: Day One,Bringing Pokémon GO to life on Google Cloud,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Meet Aquifer: A build system for easier Drupal development,Drupal 8.1.0 is now available,Release Day: Extend Drupal 8 with Plugins
-9.05504E+18,Accept questions from your audience when presenting in Google Slides,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Inception (2010),7 lessons about finding the work you were meant to do,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Staying one step ahead at Pixar: An interview with Ed Catmull
-9.05045E+18,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,10 Simple Habits of Insanely Productive People,"Desenvolvendo Android, por onde começar? - Android Dev BR"
-9.03902E+18,Concurso Literário Leia Mulheres + Sweek | Sweek,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Artificial Intelligence Software Is Booming. But Why Now?,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES
-9.03321E+18,Google's Cloud Machine Learning service is now in public beta,Graph-powered Machine Learning at Google,The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Services | RaRe Technologies,Google lags behind Amazon and Microsoft's cloud in one important area
-9.02899E+18,Xamarin for Everyone,Bradesco oferece saques com tecnologia de aproximação - Meio & Mensagem,Facebook libera botão que integra rede social a sites de e-commerce,Solidity Available in Visual Studio - Ethereum Blog,Bixpy Jet is your personal water propulsion system,"Testes mostram um ótimo desempenho do ""Ubuntu on Windows"""
-9.01958E+18,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,Taco Bell chega ao Brasil no segundo semestre desse ano,Digital is all about the people - Chris Skinner's blog,[Books] Biblioteca FIXE: Sugestões de Leitura,Portal Mercado & Consumo
-9.01923E+18,Berners-Lee quer criar outra Web,Today in Apple history: iBook ushers in a Wi-Fi revolution,Alecrim/AlecrimCoreData,How Green Was My Valley (1941),"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet","Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
-8.9928E+18,4 Reasons Managers Should Spend More Time on Coaching,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Qual é o valor da área de T&D na sua empresa?,Investimentos em coaching e mentoring aumentam nas empresas,How to augment your career with leadership coaching,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil
-8.9922E+18,15 Awesome Sublime Text Plugins For Web Development,TypeScript 2.0 is now available!,The Progress of Web Apps - On the Edge,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,React Native v0.32.0-rc.0 released,Google releases keyboard for the iPhone with built-in search features
-8.98467E+18,An Introduction to Elasticsearch Aggregations,Big data's 'streetlight effect': where and how we look affects what we see,Graph Capabilities with the Elastic Stack,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Firebase and Google Cloud: better together,Terms Aggregation in Elastic Search
-8.9681E+18,Olhando para o futuro: 5 pontos de atenção,E os vencedores do Latam Founders Awards 2016 são... - Startupi,The Future of Digital Banking is Now,Nubank e Goldman fecham parceria de R$ 200 milhões,Bradesco lança serviço inédito para estimular o hábito de poupar,The 100 (TV Series 2014- )
-8.96453E+18,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Get ready for Google I/O 2016,Scalable Microservices with Kubernetes | Udacity,Apache Spark 2.0 Preview: Machine Learning Model Persistence,Are Chatbots Really The Future Of Web Design?,Artificial intelligence is changing SEO faster than you think
-8.9627E+18,Bash on Ubuntu on Windows - Download Now!,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Good developers take breaks * Greetings Programs,Introducing Ask a Female Engineer,Steak Tartare com Salada Verde
-8.95435E+18,The technology behind preview photos,Lady Gaga's startup Backplane burns out and sells assets,Testes unitários vs aceitação - Android Dev BR,Top 5 GCP NEXT breakout sessions on YouTube (so far),Evernote anuncia integração com Google Drive | Google Discovery,"[Tools] Personal Kanban in ""Favro"""
-8.95076E+18,Mobify report reveals impact of mobile website speed,Falling for Web Components,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Black Friday salva o ano do e-commerce,"Don't Start Big, Start a Little Snowball",Não existe frete grátis!
-8.94911E+18,"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Amazon has a huge opportunity in grocery delivery,Mobile Time,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
-8.94823E+18,Nova pulseira tecnológica avisa se você já bebeu demais,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Put a ring on it: three smart rings with plenty of beauty and brains,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
-8.94772E+18,Walmart compra startup para brigar com Amazon | EXAME.com,America's allies are preparing for a bumpy ride,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Five things to include in your digital transformation playbook,The Difference Between Sympathy And Empathy - Expanded Consciousness,Blaise Agüera y Arcas: How computers are learning to be creative
-8.93917E+18,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,One year as a Data Scientist at Stack Overflow,Deep Learning Demystified,Omnitone: Spatial audio on the web,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8
-8.93707E+18,Adopting Open Source Development Processes in Corporate IT,"Webinário gratuito ""Como analisar um AWR Report""",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Sobre o Hipsters Ponto Tech,"Use Docker to build, test and push your Artifacts","Stream processing, Event sourcing, Reactive, CEP... and making sense of it all"
-8.9342E+18,[PayPal] Postos Shell adotam pagamento no smartphone,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Videos] Bill Gross: The single biggest reason why startups succeed,[Videos] This fake TED Talk about nothing might be the best you've ever seen,[PDUs] Webinars Gravados realizados pelo PMI São Paulo e pela FIXE
-8.93353E+18,RecyclerView Prefetch - Google Developers,Building interfaces with ConstraintLayout - Google Developers,Adulterated Objective-C,LukeW | Obvious Always Wins,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,Bring Your App To Life with CALayers
-8.9134E+18,Falling for Web Components,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Black Friday salva o ano do e-commerce,Não existe frete grátis!,Dafiti registra alto crescimento no 1º semestre de 2016,Mobify report reveals impact of mobile website speed
-8.90993E+18,"Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,"ConstraintLayout, Inside and Out: Part 1","ConstraintLayout, Inside and Out: Part 2",Android Quickstart - Firebase,Dicionário Priberam da Língua Portuguesa
-8.90899E+18,"Bots need a personality, not a brain like a vending machine",What the future will look like when we use chatbots instead of apps,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Facebook Thinks It Has Found the Secret to Making Bots Less Dumb,Marketplace,Can virtual reality revolutionise education?
-8.90011E+18,Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,Making open source data more available,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free","Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'"
-8.88578E+18,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,New ways to keep data flowing between your apps and ours,Google moves to replace Flash with HTML5,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery","Finding an apartment to rent is as easy as hitting ""Send"" with Trulia's new Facebook Messenger bot"
-8.87679E+18,Physicists have discovered what makes neural networks so extraordinarily powerful,Spotify's Latest Algorithmic Playlist Is Full of Your Favorite New Music,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Burger King aceita pedidos via mensagens no Facebook - Startupi
-8.86407E+18,Vídeo: IntraEmpreendedorismo como Atitude pelos Funcionários e Chefes!,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,3M e o perfil intraempreendedor | Endeavor Brasil
-8.86305E+18,Big data's 'streetlight effect': where and how we look affects what we see,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Uma arquitetura de referência para a Internet das Coisas - Parte 1,Aplicação de visão computacional com OpenCV,One year as a Data Scientist at Stack Overflow,LukeW | Obvious Always Wins
-8.85415E+18,"Within a Decade, Retail Banks will be Dead",Twitter adds a button to help you train its algorithm,Grow fast or die slow: Focusing on customer success to drive growth,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",8 things to expect from Google's biggest event of the year,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel
-8.81956E+18,Good Software Takes Ten Years. Get Used To it.,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Top 10 Intranet Trends of 2016,Build Zappos like faceted navigation with ElasticSearch,Amazon founder: A.I.'s impact is,Inbox by Gmail ganha formatação de texto | Google Discovery
-8.81562E+18,"Agility in the Cloud: Which ""As a Service"" Works for You?",This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Perfect Menu for Mobile Apps - UX Planet,Today in Apple history: Steve Jobs passes away | Cult of Mac,Writing good code: how to reduce the cognitive load of your code,Most Interesting APIs in 2016: Cognitive Computing
-8.81372E+18,Itaú é pioneiro do blockchain,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Blockchain startup R3 cuts fund-raising target to $150 million: source,"Simple rolls out shared bank accounts that work for anyone, including roommates",Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Google e GFT firmam parceria para testes com foco em blockchain - Startupi
-8.80003E+18,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Google's official Project Wing logo revealed,Behold.ai launches artificially intelligent medical software to find abnormalities faster,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,"Twitter killed Magic Recs, the only useful bot there is"
-8.79744E+18,"E quando o cliente diz ""Não gostei""?",How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,Meet the man behind the rise of bots and our AI-driven future,New blog from Dries: How should you decouple Drupal?,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,When Is the Singularity? Probably Not in Your Lifetime
-8.79619E+18,Object calisthenics: Change the way you code,What's the Version of my Deployed Application? - DZone DevOps,Automate Docker with the Remote API and Ruby,UE não dá sossego ao Google. Novo alvo? O AdSense,Optimizing the Performance of Vector Drawables - upday devs,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones
-8.77312E+18,Visual C++ for Linux Development,"Android N Developer Preview 2, out today! | Android Developers Blog",Exploring Java's Hidden Costs,Sesi oferece curso de LIBRAS com certificação de 40 horas,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,"ConstraintLayout, Inside and Out: Part 2"
-8.77134E+18,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape,"Apple acquires Turi, a machine learning company","Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Deep learning software knows that a rose is a rose is a rosa rubiginosa,Event Map For Google I/O 2016 Released
-8.7577E+18,Promises | Web Fundamentals - Google Developers,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,The Business Case for Progressive Web Apps,Prototypal Object-Oriented Programming using JavaScript,Clickpag agora é Rede Pay,Scrum Community - Scrum Alliance
-8.74265E+18,Aposta na inovação,Google HR chief Laszlo Bock leaving to launch startup,"""Não, você não aceita a homossexualidade ainda...""",De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,O que é liderança? Liderança é fazer a diversidade funcionar.,[Report] Gráficos inúteis ou bregas do Excel (parte 1)
-8.73418E+18,Windows Subsystem for Linux Overview,AWS Certified Solutions Architect Professional – Study Guide – Domain 3.0: Deployment Management (10%),Dries Buytaert: Advancing Drupal's web services,Artificial intelligence is hard to see,Docker Swarm,Jenkins 2.0 is here!
-8.72808E+18,Soylent's new drink will replace your breakfast and morning coffee,"Automatic lays off 28% of its workforce, aims for profitability in 2017",What Business Leaders Should Know About Swift,ConstraintLayout - Part 1,Don Tapscott: How the blockchain is changing money and business,Firebase Test Lab for Android
-8.72357E+18,The Most Important Push Notification metric - Growth Bug - App World,Scott Penrose: Arduino Static Strings,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Pury - New Way to Profile Your Android Application
-8.72331E+18,"Shuddle, the Uber-like service for getting your kids around, is shutting down tomorrow","Amazon open-sources its own deep learning software, DSSTNE",Generative Models,Graph-powered Machine Learning at Google,The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies
-8.71795E+18,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,How Coca-Cola Is Harvesting Innovation Energy From Startups,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing,These Are The 10 Most Purchased Brands in the World,Why a Universal Language Will Never Be a Thing
-8.70643E+18,Microsoft Accelerator startup DefinedCrowd connects machine learning with native speakers,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",Finding The Meaning Of Artificial Intelligence At Google I/O,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The AI business landscape,How This Googler Redesigned The Workweek
-8.70086E+18,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Nubank pode fechar as portas se BC confirmar mudança amanhã,Bitcoin In The Time Of Negative Interest Rates,Visa lança desafio para startups de tecnologia - Startupi,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up","contentId
-4975645025178552956    Sem Parar vs Conectcar - DanBP.org
-4975645025178552956                Sem Parar vs Conectcar
Name: title, dtype: object"
-8.6898E+18,Novidades do Android Studio 2.2,[PayPal] Postos Shell adotam pagamento no smartphone,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[Videos] This fake TED Talk about nothing might be the best you've ever seen,[Videos] Bill Gross: The single biggest reason why startups succeed
-8.68024E+18,"3 Industries That Will Be Transformed By AI, Machine Learning And Big Data In The Next Decade",Digital is all about the people - Chris Skinner's blog,Taco Bell chega ao Brasil no segundo semestre desse ano,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,[Books] Biblioteca FIXE: Sugestões de Leitura,Amazon has a huge opportunity in grocery delivery
-8.6774E+18,Dasa multiplica lucro em 6 vezes no terceiro trimestre,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,"Automatic lays off 28% of its workforce, aims for profitability in 2017",[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Framework] Lean IT Governance,The omnichannel customer experience is poised to take off in regulated industries
-8.66977E+18,Here's How L'Oréal Plans To Continue Its Digital Innovation,Meet the new Brazilian consumer,Conselho da SABMiller aceita proposta de compra da AB InBev,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Startups apostam em aplicativos que conectam fretes e caminhoneiros,"Automatic lays off 28% of its workforce, aims for profitability in 2017"
-8.65807E+18,Why Walmart wants to buy Jet.com and what you need to know about the potential deal,Walmart compra startup para brigar com Amazon | EXAME.com,America's allies are preparing for a bumpy ride,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Carrefour começa a operar e-commerce no Brasil | EXAME.com,Five things to include in your digital transformation playbook
-8.65742E+18,WebAssembly Browser Preview,React Native v0.32.0-rc.0 released,Infrequently Noted,The Progress of Web Apps - On the Edge,How I sped up the initial render of my Polymer app by 86%,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
-8.63241E+18,Adobe CQ/Adobe AEM,Workspace Filter,Configuring OSGi,AEM 6.1 Package Manager Metadata Files,Live Event: Unveiling the GitLab Master Plan,How to Install and Use the Linux Bash Shell on Windows 10
-8.62705E+18,When to make a Git Commit,Debugging WordPress: 11 Powerful Tips and Techniques,Dries Buytaert,Drupal 8.1.0 is now available,ConstraintLayout - Part 1,Announcing pricing for Google Stackdriver
-8.61842E+18,What the Google I/O schedule tells us about the future of Android,What SWAG will Google I/O 2016 attendees take home?,Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Up your app's sharing game with DirectShare - Google Developers,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",Google may unveil Android VR headset at I/O conference
-8.61596E+18,Shutter Island (2010),Inception (2010),"Agile is Dead, Long Live Continuous Delivery - Gradle",7 lessons about finding the work you were meant to do,Accept questions from your audience when presenting in Google Slides,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy"
-8.61501E+18,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Using TensorFlow and JupyterHub in Classrooms,Wide & Deep Learning: Better Together with TensorFlow,Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,The AI business landscape
-8.60606E+18,"Kotlin in Production - What works, Whats broken",Standing on the Shoulders of Giants - Built to Adapt,Kotlin no Backend (Parte 2) :: Concrete Solutions,How Kotlin became our primary language for Android - UPTech Team,Combining Spring Boot and JDBI,I've had the chance to troll Donald Trump. But I didn't.
-8.59113E+18,"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",How Mobile Health Apps and Wearables Could Actually Make People Sicker,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,NoSQL Performance Benchmarks,Fábio Prado - Overview sobre índices - DBA Brasil 1.0
-8.58735E+18,Sons de animais na busca do Google | Google Discovery,Graph-powered Machine Learning at Google,Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies,Generative Models
-8.58264E+18,Apple Has Created 'Detailed Mockups' of iMessage for Android,How Green Was My Valley (1941),How Apple Keyboards Lost a Logo and Windows PCs Gained One,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",71 erros de vocabulário e pronúncia em inglês que você faz,How We Lost 47% of Our Users After a Redesign | Icons8
-8.52952E+18,How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,LOGOBR School | Behance Reviews Campinas 2016,Motion with Meaning: Semantic Animation in Interface Design,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,A identidade visual de Budapeste para as Olimpíadas de 2024,Conheça as 10 profissões mais felizes e infelizes do mundo
-8.52636E+18,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Don Tapscott: How the blockchain is changing money and business,Where accountability really matters,Dasa multiplica lucro em 6 vezes no terceiro trimestre,Introducing New Relic Infrastructure,Decentralizing IoT networks through blockchain
-8.5181E+18,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Accept questions from your audience when presenting in Google Slides,Inception (2010),"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",7 lessons about finding the work you were meant to do,"Agile is Dead, Long Live Continuous Delivery - Gradle"
-8.51246E+18,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,Prototypal Object-Oriented Programming using JavaScript,Leveling Up Your JavaScript -,Java Collections Cheat Sheet,The five phases of migrating to Google Cloud Platform
-8.51129E+18,Dark Scrum,Readable Content Guides,Post: Just Say mNo to Hungarian Notation,Sam Newman - Backends For Frontends,So long MVP. Hello Minimum Loveable Product.,ConstraintLayout - Part 1
